number,cop.lake,cop.isol.date,worm.fam,worm.lake,worm.expo.date,plate,well.numb,date.dissected,infected.yes.no,cop.sex,numb.worm,note,,,,,,,,,,,,,,,
180,ech,10/15/18,g7ax1a,gos,10/16/18,p2,6,11/2/18,y,f,1,,,,,,,,,,,,,,,,
181,ech,10/15/18,g7ax1a,gos,10/16/18,p2,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
182,ech,10/15/18,g7ax1a,gos,10/16/18,p2,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
183,ech,10/15/18,g7ax1a,gos,10/16/18,p2,6,11/2/18,n,f,0,,,,,,,,,,,,,,,,
184,lau,10/9/18,boobulk,boo,10/16/18,p20,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
185,lau,10/9/18,boobulk,boo,10/16/18,p20,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
186,lau,10/9/18,boobulk,boo,10/16/18,p20,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
187,lau,10/9/18,boobulk,boo,10/16/18,p20,2,11/2/18,n,Na,0,juvenile,,,,,,,,,,,,,,,
188,lau,10/9/18,boobulk,boo,10/16/18,p20,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
189,lau,10/9/18,boobulk,boo,10/16/18,p20,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
190,lau,10/9/18,boobulk,boo,10/16/18,p20,2,11/2/18,n,f,0,,,,,,,,,,,,,,,,
191,lau,10/9/18,boobulk,boo,10/16/18,p20,2,11/2/18,n,m,0,,,,,,,,,,,,,,,,
192,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,y,f,3,,,,,,,,,,,,,,,,
193,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,n,f,0,,,,,,,,,,,,,,,,
194,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,y,f,1,,,,,,,,,,,,,,,,
195,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,y,f,1,,,,,,,,,,,,,,,,
196,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,y,f,1,,,,,,,,,,,,,,,,
197,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,y,f,2,,,,,,,,,,,,,,,,
198,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,y,f,1,,,,,,,,,,,,,,,,
199,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,y,f,2,,,,,,,,,,,,,,,,
200,ech,10/15/18,ech3ax1a,ech,10/16/18,p20,3,11/2/18,y,f,1,,,,,,,,,,,,,,,,
201,rob,10/5/18,echbulk,ech,10/15/18,p20,4,11/3/18,n,m,0,,,,,,,,,,,,,,,,
202,rob,10/5/18,echbulk,ech,10/15/18,p20,4,11/3/18,n,f,0,,,,,,,,,,,,,,,,
203,boo,10/4/18,boo11bx1a,boo,10/16/18,p20,5,11/3/18,n,f,0,,,,,,,,,,,,,,,,
204,boo,10/4/18,boo11bx1a,boo,10/16/18,p20,5,11/3/18,n,f,0,,,,,,,,,,,,,,,,
205,boo,10/4/18,boo11bx1a,boo,10/16/18,p20,5,11/3/18,n,f,0,,,,,,,,,,,,,,,,
206,boo,10/4/18,boo11bx1a,boo,10/16/18,p20,5,11/3/18,n,f,0,,,,,,,,,,,,,,,,
207,boo,10/4/18,boo11bx1a,boo,10/16/18,p20,5,11/3/18,n,f,0,,,,,,,,,,,,,,,,
208,boo,10/4/18,boo11bx1a,boo,10/16/18,p20,5,11/3/18,n,f,0,,,,,,,,,,,,,,,,
209,boo,10/4/18,boo11bx1a,boo,10/16/18,p20,5,11/3/18,n,f,0,,,,,,,,,,,,,,,,
210,boo,10/4/18,boo11bx1a,boo,10/16/18,p20,5,11/3/18,n,f,0,,,,,,,,,,,,,,,,
211,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,n,f,0,,,,,,,,,,,,,,,,
212,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,n,f,0,,,,,,,,,,,,,,,,
213,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,n,f,0,,,,,,,,,,,,,,,,
214,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,y,f,1,,,,,,,,,,,,,,,,
215,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,n,f,0,,,,,,,,,,,,,,,,
216,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,y,m,1,,,,,,,,,,,,,,,,
217,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,y,f,1,,,,,,,,,,,,,,,,
218,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,y,f,1,,,,,,,,,,,,,,,,
219,gos,10/14/18,g7ax1a,gos,10/16/18,p20,6,11/3/18,n,f,0,,,,,,,,,,,,,,,,
220,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,y,f,1,,,,,,,,,,,,,,,,
221,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,n,f,0,,,,,,,,,,,,,,,,
222,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,y,f,2,,,,,,,,,,,,,,,,
223,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,y,f,0,,,,,,,,,,,,,,,,
224,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,n,f,0,,,,,,,,,,,,,,,,
225,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,y,f,1,,,,,,,,,,,,,,,,
226,ech,10/15/18,ech3ax1a,ech,10/16/18,p8,2,11/04/18,y,f,3,,,,,,,,,,,,,,,,
